lineno,rec_type,rec_ver,day,date,start,end,duration,customer,rec_state,comment,remainder
19,TIME,4.1,Wed,2019-11-27,TEST,TEST,01.00,TEST TEST TEST,new,COMMENT,Stuff at the end of line
24,TIME,4.1,Tue,2019-12-10,START,END,01.00,Admin,new,"Email, Slack, timekeeping",
31,TIME,4.1,Tue,2019-12-10,START,END,07.00,TMO,new,TMO activities and events,
36,TIME,4.1,Mon,2019-12-09,START,END,01.00,Admin,new,"Email, Slack, timekeeping",
47,TIME,4.1,Mon,2019-12-09,START,END,07.00,TMO,new,TMO activities and events.,
67,TIME,4.1,Fri,2019-12-06,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
87,TIME,4.1,Fri,2019-12-06,START,END,01.00,Coach Couch,a,COMMENT,
98,TIME,4.1,Fri,2019-12-06,START,END,06.00,TMO,a,"Connect to TMO Confluence.  Connect to VPN, Outlook. Revise Architecturea. ",
132,TIME,4.1,Thu,2019-12-05,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
139,TIME,4.1,Thu,2019-12-05,START,END,07.00,TMO TMUS-40,a,Journey development.,
166,TIME,4.1,Wed,2019-12-04,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
171,TIME,4.1,Wed,2019-12-04,START,END,07.00,TMO,a,COMMENT,
200,TIME,4.1,Tue,2019-12-03,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
207,TIME,4.1,Tue,2019-12-03,START,END,07.00,TMO,a,COMMENT,
234,TIME,4.1,Mon,2019-12-02,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
246,TIME,4.1,Mon,2019-12-02,START,END,07.00,TMO TMUS-40,a,Architecture journey,
289,TIME,4.1,Wed,2019-11-27,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
324,TIME,4.1,Wed,2019-11-27,START,END,ELAPSED,TMO TMUS-40,a,Build Start_Here doc. Build Team Agreements.  Modify journey map template.  Refine Architectural Features doc.,
331,TIME,4.1,Tue,2019-11-26,START,END,ELAPSED,Admin,a,"Email, Slack, timekeeping",
339,TIME,4.1,Tue,2019-11-26,START,END,07.00,TMO TMUS-40,a,"Watch Jira Align videos. Study Transforming T-Mobile pptx, gdocs, template files. Acclimation to gdocs organization. Begin writing Architecture features.",
391,TIME,4.1,Mon,2019-11-25,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
400,TIME,4.1,Mon,2019-11-25,START,END,01.00,Admin,a,Create new bio with Scott's format,
406,TIME,4.1,Mon,2019-11-25,START,END,04.00,TMO,a,"Kickoff meeting.  Research TMO assets, gdocs, Jira Align",
410,TIME,4.1,Mon,2019-11-25,START,END,01.00,Kit Discovery,a,"Review the Epic with Dan W, CF pages, new navigation, etc",
484,TIME,4.1,Mon,2019-11-25,START,END,01.00,MetaBank,a,"Call prep. Zoom w Randy Wilk. Followup, send file",
500,TIME,4.1,Fri,2019-11-22,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
513,TIME,4.1,Fri,2019-11-22,START,END,03.50,Kit Discovery OTE-10,a,Modify pages based on review. Update Technique paper. Update pre-sales deck.,
531,TIME,4.1,Fri,2019-11-22,START,END,02.50,MetaBank,a,"Prep for call.  Zoom call with Shelly Schneekloth, Randy Wilk. Email with Randy Wilk.",
537,TIME,4.1,Fri,2019-11-22,START,END,00.50,Kit Discovery OTE-10,a,Zoom call with Dan Weikert. Review OTE-10 work.,
549,TIME,4.1,Fri,2019-11-22,START,END,00.50,Admin TIME-3,a,Coach's Couch,
569,TIME,4.1,Thu,2019-11-21,START,END,01.00,Admin,a,"Email, Slack, timekeeping",
571,TIME,4.1,Thu,2019-11-21,START,END,00.50,Admin,a,"Respond to email from EHI VP, Dan Wessel.",
579,TIME,4.1,Thu,2019-11-21,START,END,06.50,Kit Discovery OTE-10,a,"Refine Kickoff, Interview, pages, Technique Paper",
